WIC_Job_Location_Snapshot_ID,Job_Title,Original_Job_Title,NOC21_Code,NOC21_Code_Name,First_Posting_Date,Month,Vacancy_Count,Province_Territory,City,Economic_Region,Employment_Type,Employment_Term,Education_LOS,Experience_Level,Salary_Condition_Detail,Salary_Per,Salary_Minimum,Salary_Maximum,Estimated_Annual_Min,Estimated_Annual_Max,Estimated_Annual_Mid,Salary_Valid,NOC21_Code_Clean,Digital Literacy,Numeracy,Problem Solving,Systems Analysis,Critical Thinking,Decision Making,Reading Comprehension,Writing,Troubleshooting,Time Management
15353079,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Bathurst,Campbellton–Miramichi Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15353081,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Saint-Quentin,Campbellton–Miramichi Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15353082,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Caraquet,Campbellton–Miramichi Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15344933,data analyst - informatics and systems,"Product Owner, Data Platform",21223.0,Database analysts and data administrators,2026-03-21,2026-03,1,Ontario,Mississauga,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15365714,data scientist,Head of Advanced Analytics &amp; MLOps,21211.0,Data scientists,2026-03-05,2026-03,1,Manitoba,Winnipeg,Winnipeg Region,Full time,Permanent employment,Not specified,Not specified,$26.00 to $78.00 hourly,Hour,26.0,78.0,54080.0,162240.0,108160.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15293390,marketing data analyst,Not specified,41402.0,Business development officers and market researchers and analysts,2026-03-01,2026-03,1,Ontario,Markham,Toronto Region,Full time,Permanent employment,Bachelor's degree,3 years to less than 5 years,$48.00 hourly,Hour,48.0,48.0,99840.0,99840.0,99840.0,True,41402,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0
15293268,data scientist,"Data Scientist II, RESL Analytics",21211.0,Data scientists,2026-03-01,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15296447,data scientist,"Director Data Science, Culture and Conduct",21211.0,Data scientists,2026-03-03,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15363383,"Senior Advisor/ Data Scientist, Advanced Analytics",Not specified,,Not specified,2026-03-30,2026-03,1,Ontario,Ottawa,Ottawa Region,Not specified,Not specified,Not specified,Not specified,"$89,056.00 annually",Year,89056.0,89056.0,89056.0,89056.0,89056.0,True,,,,,,,,,,,
15323256,data scientist,Not specified,21211.0,Data scientists,2026-03-12,2026-03,1,Ontario,Mississauga,Toronto Region,Full time,Permanent employment,Bachelor's degree,5 years or more,"$98,000.00 to $150,000.00 annually (to be negotiated)",Year,98000.0,150000.0,98000.0,150000.0,124000.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
